,AAPL,AMZN,COST,CVX,GOOGL,JPM,KO,MCD,NVDA,UNH
2010-09-01,-0.027268348994098746,0.11675519159151891,0.022496806026059985,0.016629768921875884,-0.05189604801606284,-0.0651343680897874,0.03914418733489495,0.07416657101866536,0.022593911230944605,0.06791908170977404
2010-10-01,0.12096938166723875,0.14856058873798744,0.11833994152525848,0.06529463576980982,0.13263507037719707,0.027956910962240292,0.03864120638853827,0.005084627002932635,0.18850766593089732,0.08723431741265368
2010-11-01,0.07387022802332159,0.05610242355575481,-0.024362439439233136,-0.006119594705536765,0.15704365975076423,-0.035183687628477275,0.042876560044607596,0.038748274225264584,0.0590168144936369,0.01901101983358182
2010-12-01,0.03938793598264525,0.08243400861291295,0.07648693572229213,0.023751049503726383,-0.08594757503043161,0.019321004117460325,0.054201765054198436,0.025740111228741307,0.16571167137955276,0.04229429376348103
2011-01-01,0.0192819461091419,0.019352689623405254,0.05552243798064848,0.09838347665875945,0.051154109196793196,0.10609425437802468,0.016402681401322637,-0.0324284293072572,0.08042144920453494,-0.03900356610826024
2011-02-01,0.06734199710617914,-0.04482301789773602,0.003041954643990366,0.053034018789125136,0.028333649820496687,0.08064686395828567,-0.04223508936865442,-0.04380624173543786,0.46308046587626317,0.15276509205616493
2011-03-01,0.012328005758913577,-0.015634936730700922,0.019040820325674453,0.07461359920637291,-0.016966926512684166,-0.007211166733961043,0.029072969755649162,0.027286391928159383,-0.12244241478510429,0.008992015448657714
2011-04-01,-0.013691426443632302,0.06117994328085209,0.00852096694126835,0.05133229444773412,-0.015026879041588328,0.016313725166087468,0.04219393236355629,0.014581537885419528,-0.17358377161061675,0.07467387059265593
2011-05-01,0.016036409259553606,0.08346592982274258,0.08565231718412161,0.010286335714369807,-0.08403572479989789,-0.010247377046247811,0.0035642270504301545,0.03007368221172488,0.09431048803070022,0.07637609724507778
2011-06-01,-0.013282920984074314,-0.017568243029907192,-0.005518968205065674,-0.05790816827390826,-0.03459253332888541,-0.08862636161359803,-0.010430881102343676,0.04095447285761709,-0.043951885083888545,-0.018037194835372056
2011-07-01,-0.006533377838598331,0.08509945078385349,0.016445304027791645,0.015490999747103678,-0.008732786131533143,0.0018050242029391333,0.02693957107039767,0.056067027877755984,-0.1698603379964328,0.0975814516388238
2011-08-01,0.14481817208694484,0.05493363953170532,-0.04810977982830392,0.012316938703202647,0.15234214179544606,-0.027799665005833273,-0.005300618008805532,0.008602651429153741,-0.10295511635539017,-0.10112359962290718
2011-09-01,-0.04042824686914314,-0.04047942434705568,0.025691967880150542,-0.059333980186109435,-0.1305667812194905,-0.10800183326773924,0.039373976438292116,0.048456928136790284,-0.09270558722598472,-0.017648046610880066
2011-10-01,0.0007608281166827289,0.01721242628111654,0.03279723134355858,-0.062078450918940674,-0.03333846053673529,-0.18662824684437945,-0.03509011637191435,-0.025298355976980443,-0.05973084844576163,-0.019262479614571466
2011-11-01,0.03906222538047923,-0.019284800179336037,0.014745638385897123,0.09757575216091716,0.11645329216035644,0.09125550716369389,-0.007726369393500104,0.04552133796766964,0.11680544748452097,0.002165718500684876
2011-12-01,-0.021876153594751088,-0.07319444211188114,0.0467487824406815,0.005422286950323016,0.05892250668581441,-0.0712665349813589,0.004100426169041584,0.045810152688182025,0.11794079189373738,0.04856368511750121
2012-01-01,0.04306208862243978,-0.12999394496424893,-0.044253001745054546,0.04390125383674995,0.051024396285666164,0.08764084712309052,0.04591452977337304,0.04933828725217567,-0.13226754107776087,0.04694092602241069
2012-02-01,0.11902225922573373,0.03608286292566408,-0.0012010018340868217,-0.03451808309258007,-0.10618662955880538,0.13012147949413827,-0.030766954120305615,-0.01942400647257372,0.07436574413475082,0.04965372998976976
2012-03-01,0.1769033045607664,0.003226738066532255,0.037560428864968486,0.07324372013511415,0.06912495971803381,0.07108335343700169,0.025464938491062926,0.015600603502576485,0.021206677260806682,0.05291580854310954
2012-04-01,0.09636693177892823,0.11761020859614944,0.05245367925880429,-0.023506504768652268,0.029820682680614552,0.13011955717729815,0.06873245781384425,-0.011654779497633605,0.00978788790016053,0.05134667622157087
2012-05-01,-0.029485618351450842,0.12746395332469845,-0.04309643925119201,0.009838268713113161,-0.059117841930470705,-0.042276962994402305,0.03869564005048636,-0.009217060299835869,-0.15188060633349632,-0.031190522435853345
2012-06-01,-0.03699065923129972,-0.09965795701297452,-0.013859828578683975,-0.10705857863825208,-0.056931571228207134,-0.3158592707028467,-0.051204397892432564,-0.1064024028549035,-0.09924836649145102,-0.03726913408033405
2012-07-01,0.040197711976247164,0.09228426230816164,0.10547745507921334,0.09010144156204976,0.01579444125816023,0.11244502653487423,0.07425550185895673,0.020772432243992896,0.14287814100270196,0.06465598533352217
